"Hot Spots - Method","Self time [%]","Self time","Invocations"
"hunternif.mc.moses.data.MosesBlockProvider.restoreAllOwnedBlocksAndPlaySound(net.minecraft.world.World, int)","46.514923","375.368 ms","1"
"net.minecraft.stats.ThreadStatSyncherSend.run()","21.92596","176.939 ms","4"
"hunternif.mc.moses.MosesMod$TickHandler.ticks()","5.241616","42.299 ms","2662"
"hunternif.mc.moses.material.MaterialWaterBlocker.func_76230_c()","4.835164","39.019 ms","26430"
"hunternif.mc.moses.block.TransparentBlock.func_71872_e(net.minecraft.world.World, int, int, int)","4.1865764","33.785 ms","16302"
"hunternif.mc.moses.block.TransparentBlock.func_71877_c(net.minecraft.world.IBlockAccess, int, int, int, int)","4.164519","33.607 ms","29112"
"hunternif.mc.moses.block.TransparentBlock.func_71886_c()","3.9474142","31.855 ms","18292"
"hunternif.mc.moses.material.MaterialWaterBlocker.func_76220_a()","2.782459","22.454 ms","5331"
"hunternif.mc.moses.data.MosesBlockData.isSoleOwner(int)","1.967697","15.879 ms","9112"
"hunternif.mc.moses.data.MosesBlockData.hasOwner(int)","1.3897425","11.215 ms","9112"
"hunternif.mc.moses.util.IntVec3.toVec3(net.minecraft.util.Vec3Pool)","1.2083263","9.751 ms","6846"
"hunternif.mc.moses.data.MosesBlockProvider.getBlocksOwnedBy(net.minecraft.world.World, int)","1.1051024","8.918 ms","1"
"hunternif.mc.moses.block.TransparentBlock.func_71926_d()","0.4760937","3.842 ms","3473"
"hunternif.mc.moses.MosesMod$TickHandler.tickStart(java.util.EnumSet, Object[])","0.1470909","1.187 ms","223"
"sun.awt.SunToolkit$1.run()","0.03643195","0.294 ms","1"
"hunternif.mc.moses.item.StaffOfMoses.func_77659_a(net.minecraft.item.ItemStack, net.minecraft.world.World, net.minecraft.entity.player.EntityPlayer)","0.03370575","0.272 ms","2"
"hunternif.mc.moses.util.SoundPoint.initSoundPoints(net.minecraft.world.World)","0.010533047","0.085 ms","1"
"hunternif.mc.moses.util.IntVec3.<init>(net.minecraft.util.Vec3)","0.009417783","0.076 ms","32"
"hunternif.mc.moses.util.BlockUtil.isAir(net.minecraft.world.World, net.minecraft.util.Vec3)","0.005080646","0.041 ms","11"
"hunternif.mc.moses.item.StaffOfMoses.restoreWater(net.minecraft.world.World, net.minecraft.entity.player.EntityPlayer)","0.0042132186","0.034 ms","1"
"hunternif.mc.moses.util.BlockUtil.isLava(int)","0.002602282","0.021 ms","1"
"hunternif.mc.moses.util.SoundPoint.<init>()","0.002478364","0.02 ms","1"
"hunternif.mc.moses.util.SoundPoint.optimizeSoundPoints(java.util.List)","0.0017348548","0.014 ms","1"
"hunternif.mc.moses.util.BlockUtil.getBlockID(net.minecraft.world.World, net.minecraft.util.Vec3)","0.0011152638","0.0090 ms","1"
