"Hot Spots - Method","Self time [%]","Self time","Invocations"
"hunternif.mc.moses.MosesMod$TickHandler.tickStart(java.util.EnumSet, Object[])","0.015081252","11.849 ms","2473"
"hunternif.mc.moses.MosesMod$TickHandler.ticks()","0.042563267","33.441 ms","17178"
"hunternif.mc.moses.MosesMod.onItemExpire(net.minecraftforge.event.entity.item.ItemExpireEvent)","1.0055016E-4","0.079 ms","1"
"hunternif.mc.moses.block.TransparentBlock.func_71872_e(net.minecraft.world.World, int, int, int)","0.060854487","47.812 ms","66659"
"hunternif.mc.moses.block.TransparentBlock.func_71877_c(net.minecraft.world.IBlockAccess, int, int, int, int)","0.081747286","64.227 ms","123882"
"hunternif.mc.moses.block.TransparentBlock.func_71886_c()","0.14367855","112.885 ms","30684"
"hunternif.mc.moses.block.TransparentBlock.func_71926_d()","0.019799473","15.556 ms","14743"
"hunternif.mc.moses.block.TransparentBlock.func_71935_l()","2.2146491E-4","0.174 ms","256"
"hunternif.mc.moses.data.MosesBlockData.<init>(hunternif.mc.moses.util.IntVec3, int, int, int)","0.072751224","57.159 ms","4845"
"hunternif.mc.moses.data.MosesBlockData.addOwner(int)","0.09296435","73.04 ms","9673"
"hunternif.mc.moses.data.MosesBlockProvider.clearBlockAt(net.minecraft.world.World, int, int, int, int)","41.994183","32993.885 ms","9673"
"hunternif.mc.moses.data.MosesBlockProvider.getBlockAt(net.minecraft.world.World, hunternif.mc.moses.util.IntVec3)","9.864098E-4","0.775 ms","9"
"hunternif.mc.moses.item.StaffOfMoses.clearWaterBlock(net.minecraft.world.World, net.minecraft.entity.player.EntityPlayer, int, int, int, java.util.List)","0.109441854","85.986 ms","9673"
"hunternif.mc.moses.item.StaffOfMoses.createPassage(net.minecraft.world.World, net.minecraft.entity.player.EntityPlayer, net.minecraft.util.Vec3, double, net.minecraft.util.Vec3[], java.util.List)","0.011982016","9.414 ms","2"
"hunternif.mc.moses.item.StaffOfMoses.func_77659_a(net.minecraft.item.ItemStack, net.minecraft.world.World, net.minecraft.entity.player.EntityPlayer)","0.039200563","30.799 ms","2"
"hunternif.mc.moses.item.StaffOfMoses.getPlayerPosition(net.minecraft.world.World, net.minecraft.entity.player.EntityPlayer)","0.002837042","2.229 ms","612"
"hunternif.mc.moses.item.StaffOfMoses.isRemovableBlock(int)","0.037068646","29.124 ms","29679"
"hunternif.mc.moses.item.StaffOfMoses.isWaterOrBlockerBlock(int)","0.034409795","27.035 ms","20004"
"hunternif.mc.moses.item.StaffOfMoses.removeWaterBelow(net.minecraft.world.World, net.minecraft.entity.player.EntityPlayer, net.minecraft.util.Vec3, java.util.List)","0.08235313","64.703 ms","658"
"hunternif.mc.moses.material.MaterialWaterBlocker.func_76220_a()","0.01861578","14.626 ms","29827"
"hunternif.mc.moses.material.MaterialWaterBlocker.func_76230_c()","0.060895216","47.844 ms","38465"
"hunternif.mc.moses.util.BlockUtil.buildFlatWaveFront(net.minecraft.util.Vec3, net.minecraft.util.Vec3, int)","0.0076889056","6.041 ms","2"
"hunternif.mc.moses.util.BlockUtil.getBlockID(net.minecraft.world.World, net.minecraft.util.Vec3)","1.7819017E-5","0.014 ms","1"
"hunternif.mc.moses.util.BlockUtil.isAir(net.minecraft.world.World, net.minecraft.util.Vec3)","0.01639095","12.878 ms","4"
"hunternif.mc.moses.util.BlockUtil.isLava(int)","8.145836E-5","0.064 ms","1"
"hunternif.mc.moses.util.BlockUtil.isSolid(net.minecraft.world.World, net.minecraft.util.Vec3)","0.007952373","6.248 ms","658"
"hunternif.mc.moses.util.IntVec3.<init>(int, int, int)","0.0075883553","5.962 ms","9682"
"hunternif.mc.moses.util.IntVec3.<init>(net.minecraft.util.Vec3)","0.0014166118","1.113 ms","664"
"hunternif.mc.moses.util.IntVec3.equalsIntVec3(hunternif.mc.moses.util.IntVec3)","28.741652","22581.668 ms","22497918"
"hunternif.mc.moses.util.MathUtil.crossProduct(net.minecraft.util.Vec3, net.minecraft.util.Vec3)","1.0818688E-4","0.085 ms","4"
"hunternif.mc.moses.util.SoundPoint.<clinit>","3.0546886E-5","0.024 ms","1"
"hunternif.mc.moses.util.SoundPoint.<init>()","1.654623E-5","0.013 ms","1"
"hunternif.mc.moses.util.SoundPoint.initSoundPoints(net.minecraft.world.World)","1.8200853E-4","0.143 ms","1"
"hunternif.mc.moses.util.SoundPoint.optimizeSoundPoints(java.util.List)","2.036459E-5","0.016 ms","1"
"java.util.concurrent.ThreadPoolExecutor$Worker.run()","2.8892263E-4","0.227 ms","1"
"net.minecraft.stats.ThreadStatSyncherSend.run()","1.1756427","923.676 ms","25"
"sun.awt.SunToolkit$1.run()","5.052964E-4","0.397 ms","1"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run()","27.118681","21306.537 ms","3"
